"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"IGLC2",-21710.5736842105,33798.652173913,-5.71857113652364,2.62874995973856e-07,4.39985994436806e-06,-4.00810830526375,"Downregulated"
"PLXNA2",-217.141114883984,486.976328502415,-5.71770938942287,2.63775536659446e-07,4.40802358093567e-06,-4.00823453354415,"Downregulated"
"FOXN3-AS1",-125.707215619694,242.18768115942,-5.71310981675083,2.68633908879676e-07,4.47520623396508e-06,-4.00890836521882,"Downregulated"
"GREM2",-195.122891907187,202.203381642512,-5.70847244274784,2.73621590148796e-07,4.55119649595626e-06,-4.00958788536196,"Downregulated"
"CCKBR",-942.03552631579,550.847826086957,-5.7059597223066,2.7636217982498e-07,4.59320394904444e-06,-4.00995614034812,"Downregulated"
"IGLC1",-6882.11297750425,11398.9891304348,-5.70420806332048,2.78288695343086e-07,4.61960769916006e-06,-4.01021288309615,"Downregulated"
"SLC26A9",-1601.81799660441,1131.59420289855,-5.70395026992869,2.78573338951822e-07,4.61960769916006e-06,-4.0102506699892,"Downregulated"
"VSTM2A-OT1",-61.5203735144312,68.0869565217391,-5.70392636950637,2.78599743246624e-07,4.61960769916006e-06,-4.01025417329371,"Downregulated"
"MYRIP",-485.305984719864,374.976811594203,-5.70074717616847,2.82134099050832e-07,4.67095965382064e-06,-4.01072021235748,"Downregulated"
"UTY",-133.099632144878,222.472946859903,-5.69738304493914,2.85922233793148e-07,4.72269230249053e-06,-4.01121343808047,"Downregulated"
"HSD11B1L",-114.920967741936,175.13115942029,-5.69635372817086,2.87091276915642e-07,4.73833724968112e-06,-4.01136436509758,"Downregulated"
"JMJD7-PLA2G4B",-153.590067911715,510.017391304348,-5.69615514438407,2.87317359901362e-07,4.73840683815705e-06,-4.011393483955,"Downregulated"
"MAP4K3-DT",-113.819567062818,226.858695652174,-5.69499212452866,2.88644962140484e-07,4.75222746642168e-06,-4.01156402606559,"Downregulated"
"ALKAL2",-402.404668930391,282.582608695652,-5.69477123914865,2.88897788732927e-07,4.75222746642168e-06,-4.01159641716282,"Downregulated"
"SCAPER",-148.265930956424,426.994685990338,-5.69473749923597,2.88936426850274e-07,4.75222746642168e-06,-4.01160136488438,"Downregulated"
"RHOU",-840.332767402377,1601.76449275362,-5.69464232913215,2.8904544078671e-07,4.75222746642168e-06,-4.01161532095506,"Downregulated"
"RNF212B",-163.725127334465,170.626086956522,-5.69324446804333,2.90651323845085e-07,4.77128387652535e-06,-4.01182031531826,"Downregulated"
"SIK2",-302.644779286927,563.015579710145,-5.69168464790811,2.92453661107326e-07,4.79718344106695e-06,-4.01204907668257,"Downregulated"
"TEKTL1",-161.100848896435,167.668115942029,-5.69145291496762,2.92722362455261e-07,4.79790598231544e-06,-4.01208306379233,"Downregulated"
"HMGN2P46",-713.262903225806,837.801449275362,-5.69115781400991,2.93064893556904e-07,4.79983660406043e-06,-4.01212634530794,"Downregulated"
"ERBB4",-68.9395161290323,99.3228260869565,-5.68702519401353,2.97903480802703e-07,4.87161151569932e-06,-4.0127325265028,"Downregulated"
"CHFR",-232.678239954725,492.916425120773,-5.68482272173889,3.00514305712321e-07,4.90679206964681e-06,-4.01305563761243,"Downregulated"
"SORCS1",-70.046052631579,113.673913043478,-5.68328025814132,3.02356179744879e-07,4.93309467594452e-06,-4.01328194272686,"Downregulated"
"ST7-AS2",-37.7260611205433,45.586231884058,-5.68258170194728,3.03193993797609e-07,4.93921748705991e-06,-4.01338443792124,"Downregulated"
"PURA",-252.67220713073,775.242028985507,-5.68022572717572,3.06036557909448e-07,4.96492951260886e-06,-4.0137301413598,"Downregulated"
"CD59",-1815.5653820034,4599.06405797101,-5.68011799582112,3.06167166179981e-07,4.96492951260886e-06,-4.01374595020286,"Downregulated"
"IL1RL1",-82.5694397283532,197.250362318841,-5.679039105061,3.07478197675069e-07,4.98240657643888e-06,-4.01390427444657,"Downregulated"
"BICDL1",-196.241893039049,456.302173913043,-5.67758150090765,3.09258228210164e-07,5.00745108406707e-06,-4.01411818643943,"Downregulated"
"LOC101927531",-180.009847198642,230.831884057971,-5.67222922236793,3.1588207642383e-07,5.08770249335123e-06,-4.01490378877436,"Downregulated"
"KIR2DL1",-75.6584889643464,79.486231884058,-5.66856883358672,3.20492469919127e-07,5.15030675700738e-06,-4.0154411689599,"Downregulated"
"SLC9A2",-106.07915959253,211.802173913043,-5.66769198436757,3.21606711305638e-07,5.16044668170887e-06,-4.01556991227913,"Downregulated"
"DGCR5",-37.3182088285229,63.4920289855072,-5.66675585532848,3.22800499115344e-07,5.17183065236789e-06,-4.015707365078,"Downregulated"
"MB21D2",-256.287775891342,556.375362318841,-5.66294683545746,3.27703148530218e-07,5.23467176002982e-06,-4.01626670827779,"Downregulated"
"KLF2",-1561.19393039049,2383.73623188406,-5.66226372738235,3.28590122034983e-07,5.24491721696646e-06,-4.01636703097416,"Downregulated"
"MSRA",-213.515025466893,542.500724637681,-5.66005425328768,3.31475234496235e-07,5.28307207696723e-06,-4.01669154044796,"Downregulated"
"CPA2",-4194.91069609508,2377.01739130435,-5.65848314159218,3.33541965120019e-07,5.31204753845506e-06,-4.01692231237057,"Downregulated"
"YIPF6",-322.432788624788,1041.19202898551,-5.65801074668833,3.34165862120839e-07,5.31611061321344e-06,-4.01699170307867,"Downregulated"
"CMTM4",-1360.03715336729,2162.43381642512,-5.65732916535446,3.35068062856665e-07,5.32444093633169e-06,-4.01709182408478,"Downregulated"
"MT1HL1",-12497.1777589134,13370.3898550725,-5.65677749819086,3.35800056710951e-07,5.33210543581843e-06,-4.01717286359908,"Downregulated"
"COX6A2",-101.903989813243,201.54347826087,-5.6564782592675,3.36197769193108e-07,5.33445449974533e-06,-4.01721682243431,"Downregulated"
"MYRF-AS1",-94.8050509337861,129.065942028986,-5.65309553265261,3.40726122320655e-07,5.39432159182023e-06,-4.01771379370244,"Downregulated"
"GLYATL1",-52.6986134691567,97.5033816425121,-5.65049086361973,3.44253858546143e-07,5.44609604219999e-06,-4.01809650899035,"Downregulated"
"GAK",-418.682654216186,1434.28888888889,-5.64761921723549,3.48184945099764e-07,5.50013747965655e-06,-4.01851850458755,"Downregulated"
"FBXW11",-269.079286926995,882.327536231884,-5.64680235179965,3.4931124313228e-07,5.51385086443171e-06,-4.01863855497586,"Downregulated"
"TESK2",-193.895500848897,451.878260869565,-5.6456373168023,3.50923818293756e-07,5.53521417082699e-06,-4.01880978163378,"Downregulated"
"HEMK1",-88.3801782682512,284.047826086957,-5.62632279223662,3.78752875372659e-07,5.92168752513461e-06,-4.02164976000815,"Downregulated"
"SETBP1",-439.290449915111,625.705797101449,-5.62503023251328,3.80691055862454e-07,5.94763634239534e-06,-4.02183990283268,"Downregulated"
"CCDC157",-119.60857385399,172.310869565217,-5.62424870598705,3.81867687860217e-07,5.95730329410566e-06,-4.02195487503689,"Downregulated"
"PPP1R3C",-199.03480475382,296.639855072464,-5.62080164055463,3.87100370124966e-07,6.03452744872912e-06,-4.02246202801095,"Downregulated"
"CELF4",-35.0161629881155,52.6434782608696,-5.61994133893965,3.88417302668456e-07,6.05064065141518e-06,-4.02258861269995,"Downregulated"
"LINC00165",-118.419015280136,188.186956521739,-5.61673408075107,3.93365956476938e-07,6.12326292454662e-06,-4.02306057028531,"Downregulated"
"TTC9",-119.97084040747,170.05652173913,-5.61557760418821,3.95165553115616e-07,6.14535879769637e-06,-4.02323076545273,"Downregulated"
"MADCAM1",-461.551018675722,651.360869565217,-5.61375629718484,3.98016165192445e-07,6.18016167335099e-06,-4.02349881908406,"Downregulated"
"TMEM167B",-703.405178268251,2077.4884057971,-5.61185763674756,4.01009430434727e-07,6.21499262471798e-06,-4.02377827991227,"Downregulated"
"ZNF843",-148.798641765705,403.688405797101,-5.61121257804445,4.02031416926688e-07,6.22187316761107e-06,-4.02387323032262,"Downregulated"
"ZNF57",-464.760611205433,857.473913043478,-5.60923052908671,4.05187732154027e-07,6.25976180596073e-06,-4.02416499767624,"Downregulated"
"MT1E",-9035.33879456705,11419.784057971,-5.60498760714288,4.12026727765989e-07,6.35354138981821e-06,-4.02478966066018,"Downregulated"
"NME7",-8859.81544991512,10845.2152173913,-5.60469061972309,4.12509668869058e-07,6.3563989884823e-06,-4.02483338882794,"Downregulated"
