"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"EFCAB13-DT",-7.24821731748726,17.8985507246377,-2.77381251644091,0.00714753831761539,0.0200222948385771,-4.43172214210815,"Downregulated"
"TMEM203",330.369524617996,1815.6652173913,2.77351800380981,0.00715334089982048,0.0200359093647108,-4.43175874656515,"Upregulated"
"TRAPPC1",311.086247877759,2087.92608695652,2.77347062873196,0.00715427470221868,0.0200359093647108,-4.43176463451144,"Upregulated"
"ZDHHC21",-37.3471892095831,166.870692431562,-2.77317896851363,0.00716002603317295,0.020049387175885,-4.43180088176394,"Downregulated"
"PHEX-AS1",-53.61298811545,113.215942028986,-2.77310822795758,0.00716142162541209,0.0200506661843112,-4.43180967298608,"Downregulated"
"TMEM74B",149.19974533107,305.555072463768,2.77220358315172,0.00717929076294403,0.0200980617150604,-4.43192208502024,"Upregulated"
"ST7L",-25.7409677419355,193.014782608696,-2.77149290931584,0.00719335713792483,0.0201348005759712,-4.4320103785148,"Downregulated"
"STRIP2",76.8593803056027,134.620289855072,2.77111999172167,0.00720074841019482,0.020152848092849,-4.43205670400462,"Upregulated"
"CALHM6",344.682614601019,530.931014492754,2.77064932016455,0.00721008712368238,0.0201763405005876,-4.43211516755681,"Upregulated"
"TTC41P",-16.6697368421053,35.8695652173913,-2.7701157859806,0.00722068654488068,0.0202033541908839,-4.43218143221759,"Downregulated"
"ARHGAP45",126.422877758914,272.45,2.7697747546384,0.00722746910735818,0.0202196826992204,-4.43222378409107,"Upregulated"
"DNAJC8",116.039332201472,840.554106280193,2.76919524072692,0.00723900810736008,0.0202479595470708,-4.43229574532621,"Upregulated"
"CDC42-IT1",-46.9457555178269,163.794202898551,-2.76917192409213,0.00723947273031947,0.0202479595470708,-4.43229864048281,"Downregulated"
"TRAV8-6",-33.9727504244482,49.6710144927536,-2.76887755784408,0.00724534082330092,0.0202617184710276,-4.43233518979034,"Downregulated"
"F2RL1",-1089.70606960951,3047.64782608696,-2.76837858796607,0.00725529758769025,0.0202869063341582,-4.43239713787418,"Downregulated"
"ARL5B",227.195161290323,945.126811594203,2.76745105307752,0.00727383956777226,0.0203360900181846,-4.43251227521064,"Upregulated"
"MATCAP2",-321.942105263158,707.798550724638,-2.76713110591481,0.00728024557872069,0.0203513357100442,-4.43255198568008,"Downregulated"
"FAM230B",-38.6565365025467,126.646376811594,-2.76696347589927,0.00728360394728208,0.0203536908747816,-4.43257279009036,"Downregulated"
"POLH-AS1",-37.004753820034,95.6463768115942,-2.76695822191179,0.00728370923078524,0.0203536908747816,-4.43257344214569,"Downregulated"
"CASC17",-64.5925297113752,178.672463768116,-2.76694634905816,0.00728394715343707,0.0203536908747816,-4.43257491564428,"Downregulated"
"ZNF502",-65.4129456706282,273.002898550725,-2.7663878269818,0.00729514755426596,0.0203823216007925,-4.43264422755654,"Downregulated"
"CCDC71L",81.030348047538,354.021376811594,2.76620381693632,0.00729884108324099,0.0203899737102391,-4.43266706112667,"Upregulated"
"FBXO39",-39.4354838709677,93.9173913043478,-2.76595786833061,0.00730378054777638,0.020401103996712,-4.43269757913853,"Downregulated"
"GADD45G",-83.0037351443123,258.365217391304,-2.76551182998692,0.00731274630029904,0.020417033535576,-4.4327529206737,"Downregulated"
"RNF144A",81.2178692699491,225.217391304348,2.76550234709575,0.00731293702405335,0.020417033535576,-4.43275409719051,"Upregulated"
"GPR108",-236.794312393888,1269.34637681159,-2.76549310649667,0.00731312287911931,0.020417033535576,-4.43275524364443,"Downregulated"
"SERINC1",-1153.23786078098,6959.63188405797,-2.76548393150186,0.00731330741898003,0.020417033535576,-4.43275638195675,"Downregulated"
"ITFG2",-43.7514855687606,196.913043478261,-2.76521598812077,0.00731869854110817,0.0204294137684547,-4.43278962382864,"Downregulated"
"MRPS35",610.200679117149,3857.92028985507,2.76514322419099,0.00732016320799151,0.0204308318914107,-4.43279865080687,"Upregulated"
"L1CAM",-41.9144312393888,134.002173913043,-2.7648950940379,0.00732515984720643,0.0204421062141366,-4.43282943236094,"Downregulated"
"TKFC",-103.252758913412,382.979710144928,-2.76480538758712,0.00732696705093302,0.020444478090773,-4.43284056039936,"Downregulated"
"SLC46A3",-359.929626485569,972.610144927536,-2.76461960851668,0.00733071100984562,0.0204522527808325,-4.43286360550121,"Downregulated"
"LINC02269",-15.5039049235993,18.5971014492754,-2.76457147494374,0.00733168131974824,0.0204522881329497,-4.4328695761129,"Downregulated"
"KDM2B",153.298132427844,984.563768115942,2.76417404273158,0.00733969753552672,0.0204719760044723,-4.43291887221779,"Upregulated"
"C5orf47",-20.0466893039049,41.3275362318841,-2.76368250819293,0.00734962291369103,0.02049532116515,-4.43297983451196,"Downregulated"
"MAGI2",-29.9013865308433,114.140096618357,-2.76366450662849,0.00734998664624637,0.02049532116515,-4.43298206702124,"Downregulated"
"ADAD1",-52.7939303904923,204.599275362319,-2.76309416015496,0.00736151939313697,0.0205235491120276,-4.43305279541387,"Downregulated"
"PDE1A",-44.6075066699005,136.015113871636,-2.76306884621242,0.00736203164055081,0.0205235491120276,-4.43305593437884,"Downregulated"
"RAB3C",-18.4757427843803,64.9039855072464,-2.76300793539134,0.0073632643525658,0.0205243065489099,-4.43306348733612,"Downregulated"
